totalPedidos,pedidosEntregados,porcentajeEntregados,tiempoAhorrado
50,50,100.0000,43747.1000
50,50,100.0000,43749.7000
50,50,100.0000,43738.6000
50,50,100.0000,43753.5000
50,50,100.0000,43755.2000
50,50,100.0000,43741.1000
50,50,100.0000,43741.9000
50,50,100.0000,43743.6000
50,50,100.0000,43741.0000
50,50,100.0000,43749.6000
100,100,100.0000,43657.3900
100,100,100.0000,43682.2900
100,100,100.0000,43649.2900
100,100,100.0000,43605.5900
100,100,100.0000,43668.2900
100,100,100.0000,43662.4900
100,100,100.0000,43654.3900
100,100,100.0000,43665.1400
100,100,100.0000,43670.5900
100,100,100.0000,43679.2900
200,200,100.0000,43011.9650
200,200,100.0000,42979.9150
200,200,100.0000,43009.8400
200,200,100.0000,43151.2400
200,200,100.0000,43166.2400
200,200,100.0000,43097.9400
200,200,100.0000,43031.3900
200,200,100.0000,43231.3900
200,200,100.0000,43114.5650
200,200,100.0000,43226.9400
400,385,96.2500,39447.5800
400,392,98.0000,40284.8275
400,394,98.5000,40137.6675
400,395,98.7500,40578.8375
400,387,96.7500,39782.1300
400,394,98.5000,40629.1950
400,392,98.0000,40211.3150
400,384,96.0000,38956.6900
400,383,95.7500,39039.3575
400,385,96.2500,39332.0975
800,402,50.2500,19652.2175
800,406,50.7500,20162.5475
800,382,47.7500,18022.0750
800,483,60.3750,23149.0100
800,409,51.1250,19919.6613
800,432,54.0000,21031.5463
800,422,52.7500,20883.7788
800,445,55.6250,21959.0438
800,384,48.0000,19192.2088
800,428,53.5000,20936.0263
